,lbda,hC,hD,hE,hpC,hpD,hpE,f,df,W,dW,Up,dUp,F,dF,Fcorr,dFcorr
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656612873077393e-10,1.1016651517241862,0.0029473015743566415,0.0,0.0,0.0,1.1543543215852185e-09,-0.2400195842301725,0.006631991530888228
1,0.005,3.6053801987267223e-06,0.0,0.0,0.002155463497352294,0.0,0.0,0.0009112596982987498,8.252532312504912e-07,1.1016651498621015,0.002947211023469193,1.3505029762970997,0.0012230695913498116,0.002258973634891039,2.045767298810492e-06,-0.2377606064052352,0.006631790312720941
2,0.01,2.8533349199738213e-05,0.0,0.0,0.008498244778961148,0.0,0.0,0.007211203416495948,6.531691778073063e-06,1.1016651348322717,0.0029465860030354093,5.323679445582829,0.004822957284076617,0.017876263401215405,1.6191783248450352e-05,-0.22214328281892246,0.006630418565337501
3,0.015,9.526086600821085e-05,0.0,0.0,0.018844938121021004,0.0,0.0,0.024069817745495214,2.181154924219088e-05,1.1016650760732491,0.0029449220365215106,11.800048749148548,0.010699885898226381,0.059668043901443715,5.4069893320447766e-05,-0.18035137009966384,0.0066269145074763286
4,0.02,0.00022335455464984836,0.0,0.0,0.03301481525554829,0.0,0.0,0.056411424267073684,5.116345776772422e-05,1.1016648877211743,0.0029417649317624197,20.655001007562582,0.01876247129414702,0.13984149673674517,0.00012683201329206497,-0.10017749343614996,0.006620874856317851
5,0.025,0.00043148409144999123,0.0,0.0,0.0508298253703814,0.0,0.0,0.10890147753082324,9.891264741460121e-05,1.1016643700282813,0.002936739414676044,31.75602391138974,0.0289320424924333,0.269962083259121,0.00024520020262500835,0.029944257994676787,0.006612997611113563
6,0.03,0.0007374355923127269,0.0,0.0,0.07211459510918071,0.0,0.0,0.1859280798746834,0.0001692399925102448,1.1016631340368654,0.0029295864685627135,44.96021259086632,0.04114912186748885,0.46090772060582114,0.0004195386691231272,0.22089267656169326,0.00660580217641338
7,0.035,0.001158125000000001,0.0,0.0,0.09669642857142861,0.0,0.0,0.2915786273123171,0.0002662238596388812,1.1016605133728694,0.002920208038971937,60.11190342273626,0.05538370000590217,0.722810887857684,0.0006599575082996845,0.4828017408259563,0.006604508200720045
8,0.04,0.0017096114714107223,0.0,0.0,0.12440530731242937,0.0,0.0,0.4296116569510353,0.00039390124809963426,1.1016554668498255,0.002908718184985628,77.04024972676783,0.07165128199164378,1.0649888369978995,0.0009764642679457434,0.8249910456808192,0.006618039566427433
9,0.045,0.0024071107648598804,0.0,0.0,0.15507389034330935,0.0,0.0,0.6034235725568156,0.0005563577404852336,1.1016464752801567,0.0028955003755215354,95.55652959456596,0.09003713198468874,1.4958611070175059,0.0013791869317495722,1.255883548710175,0.006660072888871786
10,0.05,0.00326500862735765,0.0,0.0,0.1885375141310169,0.0,0.0,0.8160094656198442,0.0007578595315124987,1.1016314355159418,0.002881271526049233,115.45093805298258,0.11073181202654825,2.0228524010204025,0.0018787012130940827,1.782908685860177,0.006749959917341306
11,0.055,0.004296874181888501,0.0,0.0,0.2246341925983222,0.0,0.0,1.0699166986892035,0.0010030457299882308,1.101607554570267,0.0028671546062259677,136.48856254685967,0.13408211414060106,2.6522775213045833,0.0024865072633669856,2.412387545060946,0.006913239058410233
12,0.06,0.0055154733146903084,0.0,0.0,0.2632046171238175,0.0,0.0,1.3671892418193554,0.0012972059627179113,1.1015712475496073,0.002854763189935714,158.404169489475,0.16066290089218183,3.3892033818048533,0.0032157178401217026,3.1493951089109484,0.007181403121469454
13,0.065,0.006932782062533469,0.0,0.0,0.30409215654191707,0.0,0.0,1.7092999167478116,0.001646678070542849,1.1015180470759134,0.0028463028837940455,180.8953432190369,0.19137711710035707,4.237281044320768,0.004082044178464296,3.997592495750874,0.007590779387592827
14,0.07,0.008560000000000007,0.0,0.0,0.3471428571428572,0.0,0.0,2.0970666902921096,0.002059414486178131,1.1014425431775399,0.0028446952672478987,203.61343465838073,0.22759274166291932,5.198538213444643,0.005105200017376273,4.959019591582051,0.008180920270992272
15,0.075,0.01040756362676266,0.0,0.0,0.39220544267269597,0.0,0.0,2.530548017582742,0.002545784048146969,1.1013383995668482,0.002853727537704134,226.1517477578779,0.2713248365595052,6.273119796933131,0.006310889262003559,6.033835576531888,0.008993583311800692
16,0.08,0.012485159754864049,0.0,0.0,0.4391313143333136,0.0,0.0,3.0089111899644365,0.003119695294718513,1.101198549222274,0.002878220361691361,248.0305467091281,0.32546310140708856,7.458961545811633,0.007733590581059958,7.219992128751537,0.010073626385382584
17,0.085,0.014801738895995722,0.0,0.0,0.48777455078241216,0.0,0.0,3.5302673150518746,0.0038001333045275675,1.1010157805230407,0.0029241772940788967,268.6790907510066,0.39401868665191375,8.7513809770234,0.009420367168684773,8.512823032858268,0.011472595999616154
18,0.09,0.017365528648777304,0.0,0.0,0.5379919081335159,0.0,0.0,4.091468402961331,0.004613151419938262,1.1007841058826555,0.0029988146575128864,287.4165598799444,0.48229471448763667,10.142574358917056,0.011435804141076204,9.904538089300123,0.013254769505634097
19,0.095,0.020184047086035585,0.0,0.0,0.589642819955971,0.0,0.0,4.687869034897636,0.00559414477971026,1.1005015474548951,0.003110252269837864,303.43738460274017,0.5967360255371772,11.621025897914867,0.013867644526276264,11.383626029306187,0.015504389981873647
20,0.1,0.023264116142083662,0.0,0.0,0.6425893972749451,0.0,0.0,5.313072496036485,0.006789644993042833,1.1001751514463018,0.003266478006086408,315.81334637594784,0.743959601723124,13.17087841283676,0.0168312381840082,12.934213883213832,0.018331490678437645
21,0.105,0.026611874999999997,0.0,0.0,0.6966964285714285,0.0,0.0,5.9587161729955245,0.008256648982878556,1.0998287474577633,0.0034730762111041444,323.53515983002615,0.9281948415390016,14.771401344452707,0.020467878037066223,14.535517468545887,0.021871046798104785
22,0.11,0.03023279347890761,0.0,0.0,0.7518313797822339,0.0,0.0,6.614407498310095,0.010055705720902365,1.0995123864919134,0.003729398620798229,325.6259161332916,1.1464902234160654,16.39683196459057,0.02492766238444389,16.161661252488575,0.02626603591738466
23,0.115,0.03413168542125307,0.0,0.0,0.8078643942999943,0.0,0.0,7.2679859512293294,0.01223308919521001,1.099308706485362,0.0040237660544007875,321.3532382202368,1.382461128148734,18.01702486485136,0.030325302454218904,17.782313411564996,0.03162284063282437
24,0.12,0.038312722080085675,0.0,0.0,0.864668292973166,0.0,0.0,7.906303410101435,0.01479109955493673,1.0993267449951705,0.004330034347704505,310.52122237672035,1.6026491384537318,19.5993864166403,0.036666500217259194,19.364634286587204,0.03793674087929587
25,0.125,0.042779445506336645,0.0,0.0,0.9221185741060274,0.0,0.0,8.516587430691933,0.017657026794006606,1.0996736554867699,0.004609348774117081,293.7286519520561,1.7624517853731825,21.112254279537126,0.04377101069288043,20.876719997549234,0.045014387824299944
26,0.13,0.04753478193609806,0.0,0.0,0.9800934134586781,0.0,0.0,9.088130638057688,0.02067434074126614,1.1004074993455117,0.004819609205028855,272.4016900397571,1.824665827733083,22.52908533115796,0.05125080231295679,22.29189732157395,0.05245343950918384
27,0.135,0.05258105517790209,0.0,0.0,1.0384736642470402,0.0,0.0,9.613700215303359,0.02363553296121221,1.101496439896756,0.0049297658335993345,248.48071539059103,1.7807214858680622,23.831949729216273,0.058591470582596006,23.592309807896886,0.059728552515099356
28,0.14,0.05792000000000004,0.0,0.0,1.0971428571428574,0.0,0.0,10.090047878458662,0.026346252969562937,1.1028170441008256,0.004930646854282778,223.88414817726942,1.65634553744331,25.012795117329784,0.06531122900258089,24.770184909351592,0.0663555501007031
29,0.145,0.06355277551764144,0.0,0.0,1.1559872002736955,0.0,0.0,10.51737040455114,0.028682083713373826,1.1041987707983516,0.004835422194540498,200.05634819782108,1.4952853099897798,26.072109297294183,0.07110165304491228,25.826395131896014,0.0720332551638217
30,0.15,0.06947997858035344,0.0,0.0,1.214895579222943,0.0,0.0,10.898143243858868,0.030606438125761148,1.1054860643964797,0.004670686501443279,177.8129966906111,1.3352664146775348,27.016028803977736,0.07587204494294619,26.76742631186037,0.0766835585659363
31,0.155,0.0757016571592194,0.0,0.0,1.273759557029809,0.0,0.0,11.235930946609733,0.0321508666907133,1.1065817727512601,0.00446512384048412,157.44978686868888,1.194693941434323,27.853390004225236,0.07970061699075306,27.602331697593495,0.08039659446046608
32,0.16,0.08221732373415841,0.0,0.0,1.3324733741893262,0.0,0.0,11.534542696925033,0.03338071774995487,1.107456995422797,0.004241874513643377,138.94757827819808,1.0751242184425103,28.59363570179122,0.08274936491942392,28.340617502190778,0.08334200821293478
33,0.165,0.08902596868120427,0.0,0.0,1.3909339486523475,0.0,0.0,11.797582847420928,0.03436650956900226,1.1081353688944664,0.004016232867127663,122.14535599049479,0.9710506797512364,29.245700931930692,0.08519310047897596,28.99116471054436,0.08569769686298899
34,0.17,0.09612607365978462,0.0,0.0,1.449040875825549,0.0,0.0,12.028279227265566,0.0351684036591227,1.1086677380895753,0.0037969201773511378,106.8423029283818,0.8773017279548894,29.81758734445038,0.08718096147067665,29.56186047119265,0.08761279372895751
35,0.175,0.103515625,0.0,0.0,1.5066964285714286,0.0,0.0,12.229456382073623,0.03583170033302363,1.1091093955791607,0.0035884325302524447,92.8437588955891,0.7913262198439952,30.316296866557224,0.08882524542315523,30.059582653375802,0.08919805921273202
