,lbda,hD,hpD,f,df,Up,dUp,F,dF
0,0.0,0.0,1,0.0,0.0,4.033171921211259,0.047959773568712144,0.0,0.0
1,0.005,0.005,1,0.007881299599921121,7.633564127842006e-05,3.8005797308259757,0.032265534988545175,0.01953740304562697,0.0001892327745563458
2,0.01,0.01,1,0.01537785186009799,0.00013373509475767185,3.6402431765244296,0.027004758897015906,0.03812103396877411,0.00033152355325407235
3,0.015,0.015,1,0.022587532662321053,0.00018282703219234332,3.5127771228215785,0.023949325407290105,0.05599352287463436,0.0004532203566545519
4,0.02,0.02,1,0.029561237112039507,0.0002267027072064048,3.4048530954841993,0.02179319485636618,0.07328103654263339,0.0005619862696592096
5,0.025,0.025,1,0.03633150676344954,0.00026677040255169645,3.3103256770989926,0.02013120599085973,0.09006424408730002,0.0006613123646953872
6,0.03,0.03,1,0.042921628284856794,0.00030383973123439566,3.2257853055714687,0.018786273525188323,0.10640087215872653,0.000753205637616006
7,0.035,0.035,1,0.049349444037547485,0.000338443935121092,3.1490990134766275,0.017663354725744883,0.1223351512038481,0.0008389879720947264
8,0.04,0.04,1,0.05562924679264292,0.00037096449839913093,3.078815735224154,0.016704733243897835,0.13790251238810838,0.0009196050510394502
9,0.045,0.045,1,0.06177284141269368,0.0004016891679924537,3.013887349979907,0.015872479940036266,0.15313221945851063,0.0009957701867100285
10,0.05,0.05,1,0.06779019616765503,0.00043084299111858913,2.9535231275479275,0.015140269336758909,0.16804898332793344,0.0010680412614883466
11,0.055,0.055,1,0.0736898710790328,0.00045860669719480516,2.8971068814412475,0.014489074543344317,0.18267402392186222,0.001136866295833797
12,0.06,0.06,1,0.07947931501437111,0.0004851284173499673,2.8441463466745396,0.013904701511390085,0.19702580666285807,0.0012026125004495835
13,0.065,0.065,1,0.08516508035902426,0.0005105315707285307,2.7942404332189485,0.013376286095232493,0.21112057463265563,0.001265585826091441
14,0.07,0.07,1,0.09075298318050784,0.0005349203915189414,2.7470570548621818,0.012895333531751306,0.2249727456127074,0.0013260446648335428
15,0.075,0.075,1,0.09624822582364878,0.0005583839272582494,2.702317557297505,0.012455080983173673,0.23859521599229244,0.0013842097616938271
16,0.08,0.08,1,0.10165549273111552,0.0005809990061679872,2.659785449357897,0.012050061017208449,0.2519995983034935,0.0014402715705321345
17,0.085,0.085,1,0.10697902665254233,0.000602832486645887,2.619258044262676,0.011675794536708282,0.2651964101403413,0.0014943958304435105
18,0.09,0.09,1,0.11222269015812358,0.0006239429936544952,2.580560129556341,0.01132856962057605,0.27819522664837143,0.0015467278701909706
19,0.095,0.095,1,0.11739001592669851,0.0006443822801590241,2.5435390880958115,0.011005278883470408,0.2910048051866258,0.0015973959831514296
20,0.1,0.1,1,0.12248424831672367,0.0006641963093094873,2.508061079849416,0.010703297634527311,0.30363318838030684,0.0016465141099987171
21,0.105,0.105,1,0.12750837807088722,0.0006834261251499843,2.474008013928945,0.010420391086695055,0.31608779015202515,0.0016941839971544765
22,0.11,0.11,1,0.1324651715439451,0.0007021085608061036,2.4412751189740374,0.010154642651058173,0.3283754681763492,0.0017404969523543078
23,0.115,0.115,1,0.13735719551343983,0.0007202768201118577,2.409768973128824,0.009904397802669657,0.34050258538451156,0.0017855352864759458
24,0.12,0.12,1,0.14218683839216517,0.0007379609595018843,2.3794058915323113,0.009668219627943257,0.35247506254919686,0.0018293735081293208
25,0.125,0.125,1,0.14695632848299667,0.000755188290458665,2.3501105950876795,0.009444853260029631,0.36429842353748254,0.001872079321305919
26,0.13,0.13,1,0.1516677497825487,0.0007719837180536414,2.321815102809195,0.009233197162905436,0.3759778344874255,0.001913714464607664
27,0.135,0.135,1,0.15632305573814698,0.0007883700276215509,2.294457803546686,0.009032279753070445,0.3875181379110057,0.001954335421900274
28,0.14,0.14,1,0.16092408128390723,0.000804368128992767,2.26798267286099,0.00884124022373613,0.39892388253104827,0.001993994027754742
29,0.145,0.145,1,0.16547255342066336,0.0008199972657356752,2.242338608285117,0.008659312708212795,0.41019934950841047,0.002032737986150191
30,0.15,0.15,1,0.16997010055634654,0.0008352751953516049,2.217478861849856,0.00848581311854915,0.4213485755963804,0.0020706113171693706
31,0.155,0.155,1,0.1744182607854743,0.0008502183452027113,2.1933605530671203,0.008320128143618582,0.43237537366517437,0.002107654743537173
