,lbda,hE,hpE,f,df,W,dW,Up,dUp,F,dF,Fcorr,dFcorr
0,0.0,0.0,1,0.0,5.820766091346741e-11,1.1110038604866967,0.0017590532331970858,0.6364656310198313,0.03817866390402833,0.0,1.442942901981523e-10,-0.26094489666291937,0.003924934496598844
1,0.005,0.005,1,0.0010592090407115506,7.637677310799809e-05,1.1101905868640376,0.0017441055787645638,0.4139835725077887,0.037567035427406796,0.0026257336972903026,0.00018933473859441866,-0.25650385998179764,0.0038841223210802933
2,0.01,0.01,1,0.0016705900281746011,0.0001515538646701077,1.1093775548736424,0.0017297396421438677,0.19239274839500808,0.037005759195445936,0.004141320893927082,0.00037569551818737273,-0.253172179446889,0.0038538029409629104
3,0.015,0.015,1,0.0018358554554342987,0.00022561238743685097,1.1085648428990806,0.001715927570165803,-0.028390588252278803,0.03649043677340012,0.004551006786582753,0.0005592834138019596,-0.25094578437858106,0.003833717240252387
4,0.02,0.02,1,0.0015565527044625327,0.000298626698050133,1.107752522296538,0.0017026438379914564,-0.24844645454916758,0.036017157388151116,0.003858627268674007,0.0007402827523583277,-0.24982099818750134,0.003823566832147183
5,0.025,0.025,1,0.0008340713159835644,0.0003706651061193751,1.10694065794448,0.0016898650024958013,-0.4678513860905298,0.03558244129377472,0.0020676269519471734,0.0009188628704429409,-0.24979452152753023,0.003823015262423588
6,0.03,0.03,1,-0.00033035022546634707,0.00044179050115449346,1.1061293087439643,0.0016775694855440803,-0.6866786694941425,0.03518318935501344,-0.0008189240136505356,0.0010951796684484944,-0.25086341654508576,0.00383169120278549
7,0.035,0.035,1,-0.0019356181603775724,0.0005120609072427279,1.1053185280737785,0.0016657373832562035,-0.9049985600776438,0.03481663832275431,-0.00479831424529403,0.001269376985593938,-0.25302509215699903,0.003849193284305514
8,0.04,0.04,1,-0.003980777547891279,0.0005815299741989303,1.1045083642045501,0.0016543502978797805,-1.1228784855291565,0.03448032127701556,-0.009868176485628452,0.001441587817464935,-0.25627729029364094,0.0038750961296877776
9,0.045,0.045,1,-0.0064650067567804115,0.0006502474128682895,1.103698860675466,0.0016433911893490364,-1.340383236397372,0.03417203272735772,-0.01602647394614775,0.001611935395110614,-0.26061807304703166,0.00390895710278045
10,0.05,0.05,1,-0.009387612328046302,0.000718259381334261,1.1028900566370279,0.001632844244001392,-1.5575751442047476,0.03388979788472225,-0.02327148757179244,0.0017805341424364301,-0.2660458106674197,0.003950323304455212
11,0.055,0.055,1,-0.012748024184912055,0.0007856088279587374,1.1020819871629453,0.0016226947582664497,-1.7745142479388107,0.033631845650153036,-0.03160180416672902,0.001947490526586007,-0.27255917035490235,0.003998738397361077
12,0.06,0.06,1,-0.01654579116752153,0.0008523357964560476,1.101274683534096,0.0016129290354358254,-1.991258449653543,0.03339658489997514,-0.041016305325060634,0.002112903814206471,-0.2801571057960903,0.00405374892458253
13,0.065,0.065,1,-0.020780576871096912,0.0009184776975546786,1.1004681734971027,0.0016035342938787692,-2.2078636598709522,0.0331825836837023,-0.05151415711379853,0.002276866744886189,-0.2888388473985848,0.004114909883663693
14,0.07,0.07,1,-0.025452155767618834,0.0009840695512418943,1.099662481500029,0.0015944985852867943,-2.424383933437497,0.032988550986855866,-0.06309480045867373,0.0024394661316687635,-0.2986038931792114,0.004181789413972135
15,0.075,0.075,1,-0.0305604095924199,0.0010491442030858072,1.0988576289073286,0.0015858107217207606,-2.640871596454218,0.03281332074769296,-0.07575794218665763,0.002600783397306159,-0.30945200026443165,0.00425397254159844
16,0.08,0.08,1,-0.036105323978322446,0.0011137325176979185,1.098053634196022,0.001577460210396121,-2.857377364874708,0.03265583784862825,-0.08950354668213416,0.002760895053844023,-0.32138317696411356,0.004331063995635703
17,0.085,0.085,1,-0.042086985320999304,0.001177863552018376,1.097250513135052,0.0015694371952840798,-3.0739504553101824,0.03251514583628591,-0.10433182811626383,0.002919873132188394,-0.33439767538238924,0.004412690160427304
18,0.09,0.09,1,-0.04850557786044618,0.001241564710773045,1.0964482789493197,0.0015617324047257812,-3.2906386885745746,0.03239037615199399,-0.12024324321207912,0.0030777855674770983,-0.3484959845313551,0.004498500260793407
19,0.095,0.095,1,-0.05536138096437604,0.0013048618861621396,1.095646942470029,0.0015543371043614028,-3.507488586449682,0.032280738681058976,-0.13723848451013593,0.00323469654536187,-0.36367882391594564,0.004588166893893718
20,0.1,0.1,1,-0.06265476660033542,0.0013677795835863144,1.0948465122726545,0.0015472430547680894,-3.724545462131772,0.032185513452695436,-0.15531847410199853,0.0033906668136779237,-0.3799471375600838,0.004681386025662151
21,0.105,0.105,1,-0.07038619698425563,0.0014303410349947754,1.0940469948037284,0.001540442473273927,-3.9418535047910552,0.032104043343861216,-0.17448435780109905,0.0035457539634290566,-0.3973020884462185,0.00477787656520605
22,0.11,0.11,1,-0.078556222393944,0.0014925683012469257,1.0932483944976492,0.0015339279994876285,-4.159455858643611,0.03203572765818493,-0.19473749972247617,0.003700012682537764,-0.41574505334235423,0.0048773796204129305
23,0.115,0.115,1,-0.08716547913685524,0.0015544823647104264,1.0924507138844692,0.0015276926641357303,-4.377394696914081,0.03198001646881901,-0.2160794772449678,0.0038534949853918582,-0.43527761799220616,0.004979657524830821
24,0.12,0.12,1,-0.0962146876621901,0.0016161032131715091,1.0916539536895158,0.0015217298608547014,-4.595711291040516,0.031936405627322466,-0.2385120763311845,0.0040062504208545225,-0.45590157264564746,0.005084492711655794
25,0.125,0.125,1,-0.10570465080805214,0.0016774499160049725,1.0908581129257486,0.0015160333206234004,-4.814446075451144,0.031904432354247995,-0.2620372871822868,0.004158326261086465,-0.4776189079084283,0.00519168649668296
26,0.13,0.13,1,-0.1156362521750598,0.0017385406934384523,1.090063188979518,0.001510597088562804,-5.033638708219087,0.03188367133803588,-0.28665730020623914,0.004309767673249066,-0.5004318108912691,0.0053010578192007095
27,0.135,0.135,1,-0.12601045461838112,0.001799392979648353,1.0892691776903711,0.001505415502860205,-5.253328127881218,0.031873731277810693,-0.3123745022796288,0.004460617875916475,-0.5243426616398128,0.005412441978455441
28,0.14,0.14,1,-0.13682829885071257,0.0018600234803379401,1.088476073425535,0.00150048317560306,-5.473552606686042,0.03187425181509,-0.33919147328451055,0.00461091828180924,-0.5493540298282616,0.005525689393662413
29,0.145,0.145,1,-0.14809090214930087,0.0019204482253736472,1.087683869149466,0.001495794975333972,-5.694349800526481,0.0318849008058859,-0.3671109829031691,0.0047607086282774385,-0.5754686717004159,0.005640664407558575
